key,zh-TW,en,es,de,th,fr
ui.equip.refineatkmatk,精鍊Atk / Matk,Refine Atk / Matk,Refinamiento Atk / Matk,Veredelung Atk / Matk,ตีบวก Atk / Matk,Raffinement Atk / Matk
ui.equip.overrefineatkmatk,過度精鍊Atk / Matk,Over Refine Atk / Matk,Sobre-refinamiento Atk / Matk,Überveredelung Atk / Matk,ตีบวกเกิน Atk / Matk,Sur-raffinement Atk / Matk
ui.equip.jumptoslot,快速跳轉部位,Jump to Slot,Ir rápidamente a la ranura,Schnell zum Slot,ไปยังช่องอย่างรวดเร็ว,Aller à l'emplacement
ui.equip.title,裝備,Equipment,Equipo,Ausrüstung,อุปกรณ์,Équipement
ui.equip.dbtooltip,讀取已經儲存的裝備,Load Saved Equipment,Cargar equipo guardado,Gespeicherte Ausrüstung laden,โหลดอุปกรณ์ที่บันทึกไว้,Charger un équipement enregistré
ui.equip.dblist,裝備清單,Equipment List,Lista de equipo,Ausrüstungsliste,รายการอุปกรณ์,Liste d'équipement
ui.equip.search,搜尋,Search,Buscar,Suchen,ค้นหา,Rechercher
ui.equip.filterall,全部,All,Todos,Alle,ทั้งหมด,Tous
ui.equip.slot,部位,Slot,Ranura,Slot,ช่อง,Emplacement
ui.equip.equipnamecol,裝備名字,Equipment Name,Nombre del equipo,Ausrüstungsname,ชื่ออุปกรณ์,Nom de l'équipement
ui.common.load,載入,Load,Cargar,Laden,โหลด,Charger
ui.common.delete,刪除,Delete,Eliminar,Löschen,ลบ,Supprimer
ui.enemy.title,敵方,Enemy,Enemigo,Gegner,ศัตรู,Ennemi
ui.enemy.select,選擇敵方,Select Enemy,Seleccionar enemigo,Gegner auswählen,เลือกศัตรู,Sélectionner un ennemi
ui.enemy.elementlevel,屬性等級,Element Level,Nivel elemental,Elementstufe,ระดับธาตุ,Niveau élémentaire
ui.enemy.element,敵方屬性,Enemy Element,Elemento del enemigo,Gegnerelement,ธาตุศัตรู,Élément de l'ennemi
ui.enemy.luktooltip,影響最終暴率,Affects Final Critical Rate,Afecta a la probabilidad crítica final,Beeinflusst die finale Krit-Rate,มีผลต่ออัตราคริติคอลสุดท้าย,Affecte le taux critique final
ui.enemy.vittooltip,影響強酸火煙瓶,Affects Acid/Fire Bottle Damage,Afecta al daño de Acid/Fire Bottle,Beeinflusst den Schaden von Acid/Fire Bottle,มีผลต่อความเสียหาย Acid/Fire Bottle,Affecte les dégâts d'Acid/Fire Bottle
ui.enemy.defformula,(魔物等級+VIT)/2,(Monster Level+VIT)/2,(Nivel del monstruo+VIT)/2,(Monsterstufe+VIT)/2,(ระดับมอนสเตอร์+VIT)/2,(Niveau du monstre+VIT)/2
ui.enemy.subdef,減算DEF(前),Soft DEF,DEF blanda,Soft DEF,Soft DEF,Soft DEF
ui.enemy.muldef,乘算DEF,Hard DEF,DEF dura,Hard DEF,Hard DEF,Hard DEF
ui.enemy.mdefformula,(魔物等級+INT)/4,(Monster Level+INT)/4,(Nivel del monstruo+INT)/4,(Monsterstufe+INT)/4,(ระดับมอนสเตอร์+INT)/4,(Niveau du monstre+INT)/4
ui.enemy.submdef,減算MDEF(前),Soft MDEF,MDEF blanda,Soft MDEF,Soft MDEF,Soft MDEF
ui.enemy.mulmdef,乘算MDEF,Hard MDEF,MDEF dura,Hard MDEF,Hard MDEF,Hard MDEF
ui.enemy.raceresist,種族抗性,Race Resistance,Resistencia racial,Rassenresistenz,ต้านทานเผ่า,Résistance de race
ui.common.subtracted,減,Sub,Resta,Sub,ลบ,Sous.
ui.common.multiplied,乘,Mul,Mult.,Mul,คูณ,Mult.
ui.skill.title,技能,Skill,Habilidad,Skill,สกิล,Compétence
ui.skill.settings,技能設定,Skill Settings,Ajustes de habilidad,Skill-Einstellungen,ตั้งค่าสกิล,Réglages de compétence
ui.skill.dbtooltip,讀取已經儲存的技能,Load Saved Skill,Cargar habilidad guardada,Gespeicherten Skill laden,โหลดสกิลที่บันทึกไว้,Charger une compétence enregistrée
ui.skill.name,技能名,Skill Name,Nombre de habilidad,Skillname,ชื่อสกิล,Nom de la compétence
ui.skill.formulakeyword,公式關鍵字,Formula Keywords,Palabras clave de fórmula,Formel-Schlüsselwörter,คีย์เวิร์ดสูตร,Mots-clés de formule
ui.skill.keyword,關鍵字,Keyword,Palabra clave,Schlüsselwort,คีย์เวิร์ด,Mot-clé
ui.skill.function,功能,Function,Función,Funktion,ฟังก์ชัน,Fonction
ui.skill.level,技能等級,Skill Level,Nivel de habilidad,Skillstufe,ระดับสกิล,Niveau de compétence
ui.skill.hitnumber,傷害次數,Hit Count,Número de golpes,Trefferanzahl,จำนวนฮิต,Nombre de coups
ui.skill.hitnumbertooltip,"傷害次數, 負數時為分段傷害不會增加總傷害",Hit count. Negative values are split damage and won't add to the total damage.,Número de golpes. Los valores negativos representan daño dividido y no se suman al daño total.,Trefferanzahl. Negative Werte sind aufgeteilter Schaden und werden nicht zum Gesamtschaden addiert.,จำนวนฮิต ค่าติดลบเป็นความเสียหายแบบแบ่งช่วงและจะไม่เพิ่มความเสียหายรวม,Nombre de coups. Les valeurs négatives correspondent à des dégâts fractionnés qui ne s'ajoutent pas aux dégâts totaux.
ui.skill.fixedcast,固定詠唱,Fixed Cast,Lanzamiento fijo,Feste Zauberzeit,ร่ายคงที่,Incantation fixe
ui.skill.variablecast,變動詠唱,Variable Cast,Lanzamiento variable,Variable Zauberzeit,ร่ายแปรผัน,Incantation variable
ui.skill.time,時間,Time,Tiempo,Zeit,เวลา,Temps
ui.skill.independentdelay,獨立延遲,Cooldown,Cooldown,Cooldown,คูลดาวน์,Temps de recharge
ui.skill.globaldelay,共通延遲,Global Delay,Retraso global,Globale Verzögerung,ดีเลย์รวม,Délai global
ui.skill.damagetype,傷害類型,Damage Type,Tipo de daño,Schadenstyp,ประเภทความเสียหาย,Type de dégâts
ui.skill.ranged,技能遠傷,Skill Ranged Damage,Daño a distancia de habilidad,Fernkampfschaden des Skills,ความเสียหายระยะไกลของสกิล,Dégâts à distance de la compétence
ui.skill.critical,技能暴擊,Skill Critical,Crítico de habilidad,Skill-Kritisch,คริติคอลสกิล,Critique de compétence
ui.skill.halfcri,一半暴率,Half Critical Rate,Mitad de probabilidad crítica,Halbe Krit-Rate,อัตราคริติคอลครึ่งหนึ่ง,Moitié du taux critique
ui.skill.cannon,使用加農砲彈,Uses Cannon Shell,Usa proyectil de cañón,Verwendet Kanonenkugel,ใช้กระสุนปืนใหญ่,Utilise un obus de canon
ui.skill.cart,使用手推車,Uses Pushcart,Usa carrito,Verwendet Handkarren,ใช้รถเข็น,Utilise le chariot
ui.skill.halfignoredef,半無視防禦,Half Ignore DEF,Ignora la mitad de DEF,DEF halb ignorieren,มองข้าม DEF ครึ่งหนึ่ง,Ignore la moitié de la DEF
ui.skill.halfignoredeftooltip,將乘算DEF(後DEF)改為減算DEF,Converts Hard DEF into Soft DEF,Convierte Hard DEF en Soft DEF,Wandelt Hard DEF in Soft DEF um,เปลี่ยน Hard DEF เป็น Soft DEF,Convertit la Hard DEF en Soft DEF
ui.skill.ignoreres,無視RES,Ignore RES,Ignorar RES,RES ignorieren,มองข้าม RES,Ignorer RES
ui.skill.ignorerestooltip,RES，最高為50%,"Ignores RES, up to a maximum of 50%",Ignora RES hasta un máximo del 50%,Ignoriert RES bis maximal 50 %,มองข้าม RES ได้สูงสุด 50%,"Ignore la RES, jusqu'à un maximum de 50 %"
ui.skill.laterranged,後計算技能遠傷,Ranged Damage Calculated After,Daño a distancia calculado después,Fernkampfschaden nachträglich berechnet,คำนวณความเสียหายระยะไกลภายหลัง,Dégâts à distance calculés après
ui.skill.note,備註,Note,Nota,Hinweis,หมายเหตุ,Remarque
ui.skill.elementtable,屬性相剋表,Element Chart,Tabla elemental,Elementtabelle,ตารางธาตุ,Table des éléments
ui.skill.attackelement,攻擊屬性,Attack Element,Elemento de ataque,Angriffselement,ธาตุโจมตี,Élément d'attaque
ui.skill.cartweight,手推車重量,Cart Weight,Peso del carrito,Karrengewicht,น้ำหนักรถเข็น,Poids du chariot
ui.skill.jobskills,職業技能,Job Skills,Habilidades de Job,Job-Skills,สกิลอาชีพ,Compétences de Job
ui.skill.extraskills,額外技能,Extra Skills,Habilidades adicionales,Zusätzliche Skills,สกิลเพิ่มเติม,Compétences supplémentaires
ui.skill.weaponmasteryatk,武器修練ATK增加,Weapon Mastery ATK Bonus,Bonificación ATK de dominio de arma,Waffenmeisterschaft-ATK-Bonus,โบนัส ATK ความชำนาญอาวุธ,Bonus d'ATK de maîtrise d'arme
damagetype_0,物理傷害,Physical Damage,Daño físico,Physischer Schaden,ความเสียหายกายภาพ,Dégâts physiques
damagetype_1,魔法傷害,Magic Damage,Daño mágico,Magischer Schaden,ความเสียหายเวท,Dégâts magiques
damagetype_2,龍息傷害,Dragon Breath Damage,Daño de Aliento de Dragón,Drachenatem-Schaden,ความเสียหาย Dragon Breath,Dégâts de Souffle de Dragon
damagetype_3,陷阱傷害,Trap Damage,Daño de trampa,Fallenschaden,ความเสียหายกับดัก,Dégâts de piège
damagetype_4,混和傷害,Mixed Damage,Daño mixto,Gemischter Schaden,ความเสียหายผสม,Dégâts mixtes
damagetype_5,獵鷹傷害,Falcon Damage,Daño de Halcón,Falkenschaden,ความเสียหายเหยี่ยว,Dégâts de Faucon
ui.elementtable.dialogtitle,屬性相剋倍率表,Element Multiplier Chart,Tabla de multiplicadores elementales,Elementmultiplikator-Tabelle,ตารางตัวคูณธาตุ,Table des multiplicateurs élémentaires
ui.elementtable.uselatest,使用新版屬性表,Use Updated Element Table,Usar tabla elemental actualizada,Aktualisierte Elementtabelle verwenden,ใช้ตารางธาตุใหม่,Utiliser la table des éléments mise à jour
ui.elementtable.atkdef,攻 \ 守,Atk \ Def,Atk \ Def,Atk \ Def,Atk \ Def,Atk \ Def
ui.common.vs,對,vs,vs,vs,ต่อ,vs
ui.skill.supportskills,輔助技能,Support Skills,Habilidades de apoyo,Unterstützungs-Skills,สกิลสนับสนุน,Compétences de soutien
ui.skill.resetall,全部重置,Reset All,Restablecer todo,Alles zurücksetzen,รีเซ็ตทั้งหมด,Tout réinitialiser
ui.skill.fantasybook,幻想叢書,Fantasy Book,Libro de fantasía,Fantasiebuch,หนังสือแฟนตาซี,Livre de fantaisie
ui.panel.atkcalc,ATK計算,ATK Calculation,ATK Cálculo,ATK Berechnung,ATK การคำนวณ,Calcul de l'ATK
ui.panel.matkcalc,MATK計算,MATK Calculation,MATK Cálculo,MATK Berechnung,MATK การคำนวณ,Calcul du MATK
ui.panel.dragonbreathcalc,龍之吐息計算,Dragon Breath Calculation,Dragon Breath Cálculo,Dragon Breath Berechnung,Dragon Breath การคำนวณ,Calcul du Souffle de Dragon
ui.panel.trapcalc,陷阱計算,Trap Calculation,Trap Cálculo,Trap Berechnung,Trap การคำนวณ,Calcul du piège
ui.panel.falconcalc,獵鷹傷害計算,Falcon Damage Calculation,Cálculo de Daño de Halcón,Falkenschaden-Berechnung,การคำนวณความเสียหายเหยี่ยว,Calcul des Dégâts de Faucon
ui.panel.mixedcalc,混傷計算,Mixed DMG Calculation,Mixed DMG Cálculo,Mixed DMG Berechnung,Mixed DMG การคำนวณ,Calcul des dégâts mixtes
ui.panel.defcalc,DEF計算,DEF Calculation,DEF Cálculo,DEF Berechnung,DEF การคำนวณ,Calcul de la DEF
ui.panel.mdefcalc,MDEF計算,MDEF Calculation,MDEF Cálculo,MDEF Berechnung,MDEF การคำนวณ,Calcul du MDEF
ui.panel.general,一般,General,General,Allgemein,ทั่วไป,Général
ui.panel.survival,生存,Survival,Supervivencia,Überleben,การเอาตัวรอด,Survie
ui.panel.castdelay,詠唱 & 延遲,Cast & Delay,Lanzamiento y retraso,Zauberzeit & Verzögerung,ร่าย & ดีเลย์,Incantation et délai
ui.panel.tab.damage,傷害,Damage,Daño,Schaden,ความเสียหาย,Dégâts
ui.panel.tab.cast,詠唱&延遲,Cast & Delay,Lanzamiento y retraso,Zauberzeit & Verzögerung,ร่าย & ดีเลย์,Incantation et délai
ui.panel.baseatk,基礎ATK,Base ATK,ATK base,Basis-ATK,ATK พื้นฐาน,ATK de base
ui.panel.refinespecialatk,精練&特殊ATK加值,Refine & Special ATK Bonus,Bonificación de ATK por refinamiento y especial,Veredelungs- & Spezial-ATK-Bonus,โบนัส ATK จากการตีบวกและแบบพิเศษ,Bonus d'ATK de raffinement et spécial
ui.panel.sizefixarrow,體型修正&箭矢傷害,Size Modifier & Arrow DMG,Modificador de tamaño y DMG de flecha,Größenmodifikator & Pfeil-DMG,ตัวปรับขนาด & DMG ลูกธนู,Modificateur de taille et dégâts de flèche
ui.panel.totalweaponatk,總武器ATK,Total Weapon ATK,ATK total del arma,Gesamt-Waffen-ATK,ATK อาวุธรวม,ATK total de l'arme
ui.panel.racelevelsizeelement,種族階級體型屬性,Race/Tier/Size/Element,Raza/Rango/Tamaño/Elemento,Rasse/Rang/Größe/Element,เผ่า/ระดับ/ขนาด/ธาตุ,Race/Rang/Taille/Élément
ui.panel.postatk,後ATK(上面兩個和),Post-ATK (Sum of Above),Post-ATK (suma de arriba),Post-ATK (Summe oben),Post-ATK (ผลรวมด้านบน),Post-ATK (somme ci-dessus)
ui.panel.finalatk,最終ATK,Final ATK,ATK final,Finale ATK,ATK สุดท้าย,ATK final
ui.panel.critrangedpercent,暴傷遠傷%,Crit/Ranged DMG %,DMG crítico/a distancia %,Krit-/Fernkampf-DMG %,DMG คริติคอล/ระยะไกล %,DMG critique/à distance %
ui.panel.skillmultidef,技能倍率&敵方DEF,Skill Multiplier & Enemy DEF,Multiplicador de habilidad y DEF enemiga,Skill-Multiplikator & Gegner-DEF,ตัวคูณสกิล & DEF ศัตรู,Multiplicateur de compétence et DEF ennemie
ui.panel.normalattackdmg,普攻傷害,Normal Attack DMG,DMG de ataque normal,Normalangriff-DMG,DMG โจมตีปกติ,DMG d'attaque normale
ui.panel.normalattackdmgcrit,普攻傷害(暴擊),Normal Attack DMG (Crit),DMG de ataque normal (crítico),Normalangriff-DMG (Krit),DMG โจมตีปกติ (คริติคอล),DMG d'attaque normale (critique)
ui.panel.normalattackdps,普攻DPS,Normal Attack DPS,DPS de ataque normal,Normalangriff-DPS,DPS โจมตีปกติ,DPS d'attaque normale
ui.panel.skilldmg,技能傷害,Skill DMG,DMG de habilidad,Skill-DMG,DMG สกิล,DMG de compétence
ui.panel.skilldmgavg,技能傷害(平均),Skill DMG (Avg),DMG de habilidad (prom.),Skill-DMG (Ø),DMG สกิล (เฉลี่ย),DMG de compétence (moy.)
ui.panel.skilltotaldmg,技能總傷害,Total Skill DMG,DMG total de habilidad,Gesamt-Skill-DMG,DMG สกิลรวม,DMG total de compétence
ui.panel.skilltotaldmgavg,技能總傷害(平均),Total Skill DMG (Avg),DMG total de habilidad (prom.),Gesamt-Skill-DMG (Ø),DMG สกิลรวม (เฉลี่ย),DMG total de compétence (moy.)
ui.panel.skillcritdmg,技能暴擊傷害,Skill Crit DMG,DMG crítico de habilidad,Skill-Krit-DMG,DMG คริติคอลสกิล,DMG critique de compétence
ui.panel.skillcritdmgavg,技能暴擊傷害(平均),Skill Crit DMG (Avg),DMG crítico de habilidad (prom.),Skill-Krit-DMG (Ø),DMG คริติคอลสกิล (เฉลี่ย),DMG critique de compétence (moy.)
ui.panel.skilldps,技能DPS,Skill DPS,DPS de habilidad,Skill-DPS,DPS สกิล,DPS de compétence
ui.panel.currentaspd,目前ASPD,Current ASPD,ASPD actual,Aktuelle ASPD,ASPD ปัจจุบัน,ASPD actuel
ui.panel.equipmatkboost,裝備MATK&魔力增幅,Equip MATK & Magic Amp,MATK de equipo y amplificación mágica,Ausrüstungs-MATK & Magieverstärkung,MATK อุปกรณ์ & เพิ่มพลังเวท,MATK d'équipement et amplification magique
ui.panel.finalmatk,最終MATK,Final MATK,MATK final,Finale MATK,MATK สุดท้าย,MATK final
ui.panel.enemydmgreduce,敵方減傷,Enemy DMG Reduction,Reducción de DMG del enemigo,Gegnerische DMG-Reduktion,ลด DMG ของศัตรู,Réduction des dégâts ennemis
ui.panel.skillmulti,技能倍率,Skill Multiplier,Multiplicador de habilidad,Skill-Multiplikator,ตัวคูณสกิล,Multiplicateur de compétence
ui.panel.enemymdef,敵方MDEF,Enemy MDEF,MDEF del enemigo,Gegner-MDEF,MDEF ศัตรู,MDEF ennemi
ui.panel.skilldmgboost,技能增傷,Skill DMG Boost,Aumento de DMG de habilidad,Skill-DMG-Erhöhung,เพิ่ม DMG สกิล,Augmentation des DMG de compétence
ui.panel.basephysicaldmg,基礎物理傷害,Base Physical DMG,DMG físico base,Physischer Basis-DMG,DMG กายภาพพื้นฐาน,DMG physiques de base
ui.panel.basemagicdmg,基礎魔法傷害,Base Magic DMG,DMG mágico base,Magischer Basis-DMG,DMG เวทพื้นฐาน,DMG magiques de base
ui.panel.basedmg,基礎傷害,Base DMG,DMG base,Basis-DMG,DMG พื้นฐาน,DMG de base
ui.panel.finaldmg,最終傷害,Final DMG,DMG final,Finaler DMG,DMG สุดท้าย,DMG final
ui.panel.atkstatusbonus,Atk 素質(前)+面版後,Atk Stat (Panel),ATK de atributo (panel),ATK-Statuswert (Panel),ATK ค่าสถานะ (แผง),Atk Statistique (Panneau)
ui.panel.atkbonus,ATK加值,ATK Bonus,Bonificación de ATK,ATK-Bonus,โบนัส ATK,Bonus d'ATK
ui.panel.weaponmasteryatk,修練Atk,Weapon Mastery ATK,ATK de dominio de arma,Waffenmeisterschaft-ATK,ATK ความชำนาญอาวุธ,ATK de maîtrise d'arme
ui.panel.elementalmultiplier,屬性相剋倍率,Elemental Multiplier,Multiplicador elemental,Elementmultiplikator,ตัวคูณธาตุ,Multiplicateur élémentaire
ui.panel.sizefixmultiplier,體型修正倍率,Size Modifier Multiplier,Multiplicador de tamaño,Größenmodifikator,ตัวคูณขนาด,Multiplicateur du modificateur de taille
ui.panel.matkstatusbonus,Matk 素質(前)+面版後,Matk Stat (Panel),MATK de atributo (panel),MATK-Statuswert (Panel),MATK ค่าสถานะ (แผง),Matk Statistique (Panneau)
ui.panel.matkbonus,MATK加值,MATK Bonus,Bonificación de MATK,MATK-Bonus,โบนัส MATK,Bonus de MATK
ui.panel.damagereducerate,減傷率,DMG Reduction Rate,Tasa de reducción de DMG,DMG-Reduktionsrate,อัตราลด DMG,Taux de réduction des DMG
ui.panel.hpnaturalregen,HP自然恢復,HP Natural Regen,Regeneración natural de HP,Natürliche HP-Regeneration,ฟื้นฟู HP ตามธรรมชาติ,Régénération naturelle de HP
ui.panel.spnaturalregen,SP自然恢復,SP Natural Regen,Regeneración natural de SP,Natürliche SP-Regeneration,ฟื้นฟู SP ตามธรรมชาติ,Régénération naturelle de SP
ui.panel.hppotionrate,HP藥水恢復率,HP Potion Recovery Rate,Recuperación de poción de HP,HP-Trank-Heilungsrate,อัตราฟื้นฟูยา HP,Taux de récupération des potions de HP
ui.panel.sppotionrate,SP藥水恢復率,SP Potion Recovery Rate,Recuperación de poción de SP,SP-Trank-Heilungsrate,อัตราฟื้นฟูยา SP,Taux de récupération des potions de SP
ui.panel.every6s,每6秒回,Every 6s: ,Cada 6 s: ,Alle 6 s: ,ทุก 6 วินาที: ,Toutes les 6 s : 
ui.panel.every60s,，每60秒回,/ Every 60s: ,/ Cada 60 s: ,/ Alle 60 s: ,/ ทุก 60 วินาที: ,/ Toutes les 60 s : 
ui.panel.avgpersec,平均每秒回,Avg/sec: ,Prom./s: ,Ø/Sek.: ,เฉลี่ย/วินาที: ,Moy./s : 
ui.panel.every8s,每8秒回,Every 8s: ,Cada 8 s: ,Alle 8 s: ,ทุก 8 วินาที: ,Toutes les 8 s : 
ui.panel.every80s,，每80秒回,/ Every 80s: ,/ Cada 80 s: ,/ Alle 80 s: ,/ ทุก 80 วินาที: ,/ Toutes les 80 s : 
ui.panel.aspdfixedvalue,ASPD固定值,ASPD Fixed Value,Valor fijo de ASPD,Fester ASPD-Wert,ค่า ASPD คงที่,Valeur fixe d'ASPD
ui.panel.variablecastsec,變動詠唱(秒),Variable Cast (sec),Lanzamiento variable (s),Variable Zauberzeit (Sek.),ร่ายแปรผัน (วินาที),Incantation variable (s)
ui.panel.variablecastsupport,變動詠唱(輔助技能%),Variable Cast (Support Skill %),Lanzamiento variable (habilidad de apoyo %),Variable Zauberzeit (Unterstützungs-Skill %),ร่ายแปรผัน (สกิลสนับสนุน %),Incantation variable (% compétence de soutien)
ui.panel.variablecastskill,變動詠唱(指定技能%),Variable Cast (Specified Skill %),Lanzamiento variable (habilidad especificada %),Variable Zauberzeit (festgelegter Skill %),ร่ายแปรผัน (สกิลที่ระบุ %),Incantation variable (% compétence spécifiée)
ui.panel.actualcasttime,實際詠唱時間,Actual Cast Time,Tiempo real de lanzamiento,Tatsächliche Zauberzeit,เวลาร่ายจริง,Temps d'incantation réel
ui.panel.skilldelaytime,技能延遲時間,Skill Delay Time,Tiempo de retraso de habilidad,Skill-Verzögerungszeit,เวลาดีเลย์สกิล,Temps de délai de compétence
ui.panel.attackinterval,攻擊間隔,Attack Interval,Intervalo de ataque,Angriffsintervall,ช่วงห่างการโจมตี,Intervalle d'attaque
ui.panel.castdelayexceedsinterval,詠唱+延遲 > 攻擊間隔時間,Cast + Delay > Attack Interval Time,Lanzamiento + retraso > intervalo de ataque,Zauberzeit + Verzögerung > Angriffsintervall,ร่าย + ดีเลย์ > ช่วงห่างการโจมตี,Incantation + délai > intervalle d'attaque
ui.panel.perattackpersec,每秒攻擊次數,Attacks per Second,Ataques por segundo,Angriffe pro Sekunde,จำนวนโจมตีต่อวินาที,Attaques par seconde
ui.panel.notenoughgold,詠唱>1秒,Cast time exceeds 1s,El tiempo de lanzamiento supera 1 s,Zauberzeit überschreitet 1 s,เวลาร่ายเกิน 1 วินาที,Le temps d'incantation dépasse 1 s
ui.panel.displaymode,顯示模式,Mode,Modo,Modus,โหมด,Mode
ui.common.other,其他,Other,Otro,Sonstiges,อื่นๆ,Autre
ui.common.equip,裝備,Equipment,Equipo,Ausrüstung,อุปกรณ์,Équipement
ui.panel.normalrefineatk,一般精煉ATK,Normal Refine ATK,ATK de refinamiento normal,Normale Veredelungs-ATK,ATK ตีบวกปกติ,ATK de raffinement normal
ui.panel.normalrefinematk,一般精煉MATK,Normal Refine MATK,MATK de refinamiento normal,Normale Veredelungs-MATK,MATK ตีบวกปกติ,MATK de raffinement normal
ui.panel.overrefineatk,過度精煉ATK,Over-Refine ATK,ATK de sobre-refinamiento,Überveredelungs-ATK,ATK ตีบวกเกิน,ATK de sur-raffinement
ui.panel.overrefinematk,過度精煉MATK,Over-Refine MATK,MATK de sobre-refinamiento,Überveredelungs-MATK,MATK ตีบวกเกิน,MATK de sur-raffinement
ui.common.supportskill,輔助技能,Support Skill,Habilidad de apoyo,Unterstützungs-Skill,สกิลสนับสนุน,Compétence de soutien
ui.equip.fortarget,對,For,Para,Gegen,ต่อ,Pour
ui.equip.forallsize,對全體型,For All Sizes,Para todos los tamaños,Gegen alle Größen,ต่อทุกขนาด,Pour toutes les tailles
ui.equip.foralllevel,對全階級,For All Tiers,Para todos los rangos,Gegen alle Ränge,ต่อทุกระดับ,Pour tous les rangs
ui.equip.forallrace,對全種族,For All Races,Para todas las razas,Gegen alle Rassen,ต่อทุกเผ่า,Pour toutes les races
ui.equip.elementenemysuffix,屬性敵人,Element Enemies,Enemigos de ese elemento,Gegner dieses Elements,ศัตรูธาตุนั้น,Ennemis de cet élément
ui.equip.enemyresistprefix,敵人對,Enemy,Enemigo,Gegner,ศัตรู,Ennemi
ui.equip.enemyresistsuffix,屬性耐性減少,Resistance Reduction,Reducción de resistencia elemental,Elementresistenz-Reduktion,ลดความต้านทานธาตุ,Réduction de résistance
ui.equip.elementmagicsuffix,屬性魔法,Element Magic,Magia elemental,Elementmagie,เวทธาตุ,Magie élémentaire
ui.skill.dmgboosttype,增傷,DMG Boost,Aumento de DMG,DMG-Erhöhung,เพิ่ม DMG,Augmentation des DMG
ui.skill.cdreductiontype,獨延減少,CD Reduction,Reducción de CD,CD-Reduktion,ลด CD,Réduction du CD
ui.common.seconds,秒,s,s,s,วิ,s
ui.skill.unknown,未知技能,Unknown Skill,Habilidad desconocida,Unbekannter Skill,สกิลที่ไม่รู้จัก,Compétence inconnue
ui.allset.dialogtitle,配置清單(測試),Saved Builds (Beta),Configuraciones guardadas (Beta),Gespeicherte Builds (Beta),บิลด์ที่บันทึกไว้ (Beta),Builds enregistrés (Bêta)
ui.allset.savedlist,已儲存清單,Saved List,Lista guardada,Gespeicherte Liste,รายการที่บันทึก,Liste enregistrée
ui.common.download,下載,Download,Descargar,Herunterladen,ดาวน์โหลด,Télécharger
ui.allset.savenotice,測試中 不會儲存額外技能選項,Beta -- extra skill options are not saved,Beta: las opciones de habilidades adicionales no se guardan,Beta – zusätzliche Skill-Optionen werden nicht gespeichert,Beta -- ตัวเลือกสกิลเพิ่มเติมจะไม่ถูกบันทึก,Bêta – les options de compétences supplémentaires ne sont pas enregistrées
ui.allset.saveconfirm,儲存配置>>>,Save Build >>>,Guardar configuración >>>,Build speichern >>>,บันทึกบิลด์ >>>,Enregistrer le build >>>
ui.allset.setnamefirst,儲存前設定檔名,Set File Name Before Saving,Define el nombre del archivo antes de guardar,Vor dem Speichern einen Dateinamen festlegen,ตั้งชื่อไฟล์ก่อนบันทึก,Définissez le nom du fichier avant d'enregistrer
ui.allset.filename,存檔名,File Name,Nombre de archivo,Dateiname,ชื่อไฟล์,Nom du fichier
ui.allset.filenameplaceholder,要儲存的檔名,Enter a file name,Introduce un nombre de archivo,Dateinamen eingeben,กรอกชื่อไฟล์,Saisissez un nom de fichier
ui.allset.enemyname,敵人名,Enemy Name,Nombre del enemigo,Gegnername,ชื่อศัตรู,Nom de l'ennemi
ui.common.deletetitle,確認刪除,Confirm Delete,Confirmar eliminación,Löschen bestätigen,ยืนยันการลบ,Confirmer la suppression
ui.equip.deleteconfirm,確定要刪除這筆裝備嗎？,Delete this equipment entry?,¿Eliminar esta entrada de equipo?,Diesen Ausrüstungseintrag löschen?,ต้องการลบอุปกรณ์รายการนี้หรือไม่?,Supprimer cette entrée d'équipement ?
ui.allset.deleteconfirm,確定要刪除這筆配置嗎？,Delete this saved build?,¿Eliminar esta configuración guardada?,Diesen gespeicherten Build löschen?,ต้องการลบบิลด์ที่บันทึกไว้นี้หรือไม่?,Supprimer ce build enregistré ?
ui.equip.cardname,卡片名稱,Card Name,Nombre de carta,Kartenname,ชื่อการ์ด,Nom de la carte
ui.equip.itemname,名稱,Name,Nombre,Name,ชื่อ,Nom
ui.equip.aspdpenaltytable,攻速懲罰表,ASPD Penalty Table,Tabla de penalización de ASPD,ASPD-Malustabelle,ตารางโทษ ASPD,Table de pénalité d'ASPD
ui.common.aspdformula,攻速公式,ASPD Formula,Fórmula de ASPD,ASPD-Formel,สูตร ASPD,Formule d'ASPD
ui.common.aspdpenaltytier,攻速懲罰職等,ASPD Penalty Tier,Nivel de penalización de ASPD,ASPD-Malusstufe,ระดับโทษ ASPD,Niveau de pénalité d'ASPD
ui.common.tier34full,三轉/四轉,3rd/4th Job,3.º/4.º Job,3./4. Job,อาชีพ 3/4,Job 3e/4e
ui.common.tier2full,二轉/進階二轉,2nd/Extended 2nd Job,2.º/2.º avanzado,2./Erweiterter 2. Job,อาชีพ 2/อาชีพ 2 ขั้นสูง,Job 2e/2e avancé
ui.equip.shieldcol,盾,Shield,Escudo,Schild,โล่,Bouclier
nav.settings,設定,Settings,Configuración,Einstellungen,การตั้งค่า,Paramètres
settings.empty,目前沒有可調整的設定。,No settings available yet.,No hay opciones disponibles por ahora.,Derzeit keine Einstellungen verfügbar.,ยังไม่มีการตั้งค่าให้ปรับในขณะนี้,Aucun paramètre disponible pour le moment.
